Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
N\C(=N/S(=O)(=O)c1ccc(cc1)C#N)\N2C[C@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;100;7;463.95;3.72
FC(F)(F)c1ccc(CCC(=O)N2CCN(CC2)S(=O)(=O)c3cc(Cl)cc(Cl)c3)cc1;EC50;0.5;9.3;495.35;4.48
FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)C5CC5;IC50;0.5;9.3;546.53;5.24
FC(F)(F)c1ccc(cc1)C(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C4CC4;EC50;1.3;8.89;506.47;4.75
FC(F)(F)c1ccc(CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(Cl)cc(Cl)c3)cc1;IC50;16;7.8;481.32;4.09
COC(=O)c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)Cc3ccc(cc3)C(F)(F)F)C(F)(F)F;IC50;5;8.3;538.47;3.59
OCCc1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F;IC50;4;8.4;550.52;3.9
FC(F)(F)c1ccccc1CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(Cl)cc(Cl)c3;EC50;2.2;8.66;481.32;4.09
Cc1c2C(=O)N(CCc2n(c1c3cccc(c3)C(F)(F)F)c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;67;7.17;521.41;8.11
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)N[C@@H]4C[C@H]5CC[C@@H]4C5;IC50;2.2;8.66;465.38;5.83
C[C@H](NC(=O)c1c(Cl)cccc1Cl)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;37.2;7.43;457.79;6.66
C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)[C@@H](Cc3ccc(Cl)cc3)c4cccc(c4)C#N;IC50;23;7.64;501.05;6.57
C[C@H](NS(=O)(=O)c1cccc(c1)c2ccccc2)[C@@H](Cc3ccc(Cl)cc3)c4cccc(c4)C#N;IC50;2.8;8.55;501.05;6.57
C[C@H](NS(=O)(=O)c1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;21.7;7.66;459.4;5.56
CCCCS(=O)(=O)N[C@@H](C)[C@@H](Cc1ccc(Cl)cc1)c2cccc(c2)C#N;IC50;75.2;7.12;404.96;4.65
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NCC4CCN(CC4)C#N;IC50;0.49;9.31;511.41;3.8
CS(=O)(=O)N1CCC(CC1)NC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;31;7.51;532.45;4.07
NC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;0.4;9.4;471.39;4.46
NC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;0.93;9.03;471.39;4.46
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)c5ccccc5F;IC50;0.51;9.29;551.45;6.03
NC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(O)(CC4)c5ccc(F)cc5;IC50;1.9;8.72;566.46;5.59
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)c5ncccn5;IC50;0.71;9.15;535.44;4.68
ONC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)Nc4ccc(F)cc4;IC50;1.1;8.96;498.35;5.74
Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NCc4ccccc4;IC50;31;7.51;467.78;7.31
NC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)c5ncccn5;IC50;0.59;9.23;534.45;5.13
Cc1ccncc1NC(=O)c2nn(c3ccccc3Cl)c(c2CC(=O)N)c4ccc(Cl)cc4;IC50;1.7;8.77;480.36;4.83
CC(C)(C)C(=O)Nc1ccc2ncn(Cc3cccc(c3)c4cccc5OCOc45)c2c1;IC50;64;7.19;427.5;5.46
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCN(CC4)C(=O)C5CC5;IC50;3.7;8.43;540.45;4
OC1(CCN(CC1)C(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4)c5ccc(F)cc5;IC50;3;8.52;549.43;6.18
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)NCc4ccc(Br)cc4;IC50;5.8;8.24;540.25;6.6
Fc1ccccc1CNC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;4.1;8.39;479.34;5.98
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)NCc4ccc(Br)cc4;IC50;1.2;8.92;540.25;6.6
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(C#N)c5ccccc5;IC50;0.78;9.11;558.47;5.57
O[C@@H]1Cc2ccccc2[C@@H]1NC(=O)c3nn(c4ccccc4Cl)c(c3CC#N)c5ccc(Cl)cc5;IC50;1.7;8.77;503.39;5.3
C[C@@H]1CC[C@H](CC1)NC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;1.6;8.8;467.4;6.22
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(O)(CC4)c5ccccc5;IC50;2.9;8.54;549.46;5
Cc1cc(n[nH]1)C(=O)N[C@@H]2CC(C)(C)Oc3nc(c4ccc(Cl)cc4Cl)c(cc23)c5ccc(Cl)cc5;EC50;5.8;8.24;541.87;7.44
Cc1cc(Cl)ccc1c2nc3OC(C)(C)CC(N=C(O)C(O)C(F)(F)F)c3cc2c4ccc(Cl)cc4;IC50;1.8;8.74;539.38;7.51
