Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
CCc1cc(ccc1O)c2ccc(C#N)n2C,IC50,7.1,nM,8.15,0,226.28,36.01,0.65,5.32,16.65,2.83
CC[C@H]1[C@H](O)CC(=O)N1c2ccc(C#N)c(Cl)c2,IC50,3.4,nM,8.47,0,264.71,31.99,0.64,6.38,13.16,2.09
CC(C)C[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(Cl)c2,IC50,5.5,nM,8.26,0,292.77,28.21,0.56,5.54,12.84,2.72
C[C@H]1[C@@H](O)C(F)(F)C(=O)N1c2ccc(C#N)c(Cl)c2,IC50,1.1,nM,8.96,0,286.67,31.25,0.64,7.02,13.93,1.94
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(F)c2C,IC50,1,nM,9,0,248.3,36.25,0.68,6.64,19.04,2.36
C[C@](O)(COc1ccc(cc1Br)C#N)C(=O)N2CCc3c(cccc23)C#N,IC50,4.8,nM,8.32,0,426.27,19.52,0.42,5.41,8.55,2.91
C[C@](O)(COc1ccc(F)cc1C#N)C(=O)N2CCc3c(cccc23)C#N,IC50,9.1,nM,8.04,0,365.36,22.01,0.41,5.75,8.26,2.29
C[C@]12C[C@@H](NS(=O)(=O)c3ccccc3F)[C@](C)(O1)[C@H]4[C@@H]2C(=O)N(C4=O)c5ccc(C#N)c(c5)C(F)(F)F,IC50,10,nM,8,1,537.49,14.88,0.3,4.88,6.86,3.12
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,8.3,nM,8.08,1,429.6,,,,,5.41
C[C@](O)(COc1ccccc1F)C(=O)N2CCc3c(cccc23)C#N,IC50,10.1,nM,8,0,340.35,23.49,0.44,5.58,10.87,2.42
C[C@H]1[C@@H](O)CCN1c2ccc(C#N)c(Cl)c2C,IC50,0.72,nM,9.14,0,250.73,36.46,0.73,6.66,19.35,2.48
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(Cl)c2,IC50,0.32,nM,9.49,0,250.73,37.87,0.76,6.93,20.09,2.56
CC[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(Cl)c2C,IC50,9,nM,8.05,0,278.74,28.86,0.58,5.65,12.51,2.4
C[C@H]1[C@@H](O)[C@H](C)C(=O)N1c2ccc(C#N)c(Cl)c2,IC50,1.3,nM,8.89,0,264.71,33.57,0.67,6.95,13.81,1.94
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(Cl)c2C,IC50,0.49,nM,9.31,0,264.76,35.16,0.71,6.44,19.7,2.87
CC[C@H]1[C@@H](O)[C@H](C)C(=O)N1c2ccc(C#N)c(Cl)c2,IC50,1.8,nM,8.74,0,278.74,31.37,0.63,6.41,13.59,2.33
CCOC(=O)c1c(C)n(Cc2ccccc2)c(C)c1c3ccc(cc3)[N+](=O)[O-],IC50,5.5,nM,8.26,0,378.43,21.83,0.4,3.35,11.11,4.91
COC(=O)c1c(C)n(Cc2ccccc2)c(C)c1c3ccc(C#N)c(c3)C(F)(F)F,IC50,3.9,nM,8.41,1,412.41,20.39,0.38,2.91,15.28,5.5
Cc1c(C#N)c(c(C)n1Cc2ccc(Cl)nc2)c3ccc(cc3)C#N,IC50,9,nM,8.05,0,346.82,23.2,0.44,3.44,12.3,4.61
C[C@H]1[C@@H](CO)CCN1c2ccc(C#N)c3ccccc23,IC50,4.1,nM,8.39,0,266.34,31.49,0.57,5.47,17.75,2.92
COC(=O)[C@H]1CCN([C@H]1C)c2ccc(C#N)c3ccccc23,IC50,7.5,nM,8.12,0,294.35,27.6,0.5,5.02,15.24,3.1
FC(F)(F)c1cccc(c1)N2C(=O)[C@@H]3C4CCC(C4)[C@@H]3C2=O,IC50,7,nM,8.15,0,309.29,,,,,3.24
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(Cl)c2,IC50,0.52,nM,9.28,0,250.73,37.03,0.75,6.72,19.64,2.56
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,4,nM,8.4,0,290.45,28.91,0.55,4.44,22.51,3.96
CC[C@H]1[C@H](O)[C@H](C)N(C1=O)c2ccc(C#N)c(Cl)c2,IC50,3.2,nM,8.49,0,278.74,30.48,0.61,6.16,13.21,2.33
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(F)c2C,IC50,1,nM,9,0,248.3,36.25,0.68,6.64,19.04,2.36
