idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000550734025,CC(NC(=O)C(=O)N1CCCC1Cc1ccccc1)c1nnc2n1CCCCC2,68.441613,3.210583,4.999462,863,31,613,48.007000,12
ZINC000195506249,CC1CCCCC1NC(=O)NC(=O)CN1CCC(c2ccn[nH]2)CC1,52.329057,3.210481,4.340250,566,27,487,46.054000,10
ZINC000470042204,O=C(NC1CCCCC1n1cccn1)N(Cc1ccc(F)cc1)CC1CC1,75.545933,3.210394,4.145123,742,28,550,51.491000,11
ZINC000489687966,N#Cc1ccc(S(=O)(=O)N2CC(O)CC2c2ccc(C(F)(F)F)cc2)cc1F,38.553286,3.210224,3.894709,1030,34,619,53.287000,12
ZINC000436565085,CCOC(=O)CC1CC(OC)CN1C(=O)c1ccc(C)c(C)c1O,38.688660,3.210203,3.510321,628,22,463,41.707000,10
ZINC000289962251,CCC1NCCC1C(=O)NCCc1nc2ccccc2n1CC,29.637870,3.210196,4.168973,678,23,472,41.839000,9
ZINC000112326960,CCCC(=O)N1CCCCC1C(=O)N(C)C1CCN(c2ccccc2F)C1=O,56.164097,3.210091,3.606724,754,29,550,50.291000,11
ZINC000511451468,CCc1nc(C(=O)NCC(OC)C2CC2)nn1-c1c(Cl)cccc1Cl,46.242295,3.210067,3.625086,753,24,497,41.886000,10
ZINC000278461265,C#CCC(CC#C)C(=O)NC(CCCO)c1ccccc1,56.951615,3.209869,2.738420,494,19,377,37.250000,8
ZINC000185827833,Cn1nc(C(=O)NCCCOC2CCOC2)cc1OC(F)F,51.191156,3.209721,4.728435,489,21,380,37.273000,8
ZINC000276500120,COC(=O)C(NCC(=O)N1CCCC1c1ccc2c(c1)OCCO2)C1CC1,43.924809,3.209541,3.997885,718,31,553,47.320000,11
ZINC000367306120,CC(C)(C)OC(=O)N1CCN(CCC(=O)NC2CC(=O)N3CCCCC23)CC1,44.411498,3.209406,3.327140,595,30,511,48.836000,11
ZINC000508551950,COC(=O)Cn1ncc(NC(=O)C(=O)N2CCCCC2c2nc(C)no2)c1C,58.490405,3.209329,3.807880,888,31,560,40.248000,11
ZINC000465931671,CCN(CC)C1CCN(C(=O)NC(C)c2sc(-c3ccc(OC)cc3)nc2C)C1,77.586048,3.209192,4.824597,816,25,565,46.467000,12
ZINC000270476997,CCC1CN(c2nc(C)cc(C)n2)CC1O,3.377349,3.209100,2.773469,360,16,340,31.683000,6
ZINC000364763989,CCOC(=O)COc1ccc(NC2CCN(CC3CCCO3)CC2C)cc1,64.281911,3.208937,4.120414,586,26,519,46.648000,10
ZINC000500757018,CC1CCC(CNC(=O)C(=O)N2CCN(c3cc(C#N)ccn3)CC2)C1,54.157798,3.208920,4.389120,706,31,538,46.041000,10
ZINC000432302492,Cc1nc(C(C)(NS(=O)(=O)c2ccc3cc(Br)ccc3c2)C2CC2)no1,56.446663,3.208834,3.189203,1092,30,587,44.975000,11
ZINC000454873713,CC1COCCC1NC(=O)N1CCC(Cc2cc(F)cc(F)c2)CC1,40.594670,3.208692,3.988429,582,24,496,45.280000,10
ZINC000330522862,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)N(C)CC(O)CN1CCOCC1,76.433290,3.208662,3.957495,724,26,455,39.603000,10
ZINC000271946261,CC(NC(C)C(O)c1ccc(F)cc1)c1ccc(C#N)c(F)c1,52.912886,3.208643,3.019639,709,23,513,46.575000,9
